ArriveTime,LogicalID,EndDeviceSID,RouterSID,LQI,SequenceNumber,Sensor,PALID,PALVersion,WakeupFactor,EventID,Power,ADC1,HALLIC,Temperature,Humidity
	2022/02/17 12:00:00.702,1,	201C04B,	No Relay,51,1,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3000,943,	Open,23.06,48.12
	2022/02/17 12:00:07.097,1,	201C04B,	No Relay,105,2,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3140,1167,	Open,23.81,71.73
	2022/02/17 12:00:12.601,1,	201C04B,	No Relay,60,3,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1186,	Open,23.81,70.24
	2022/02/17 12:00:17.593,1,	201C04B,	No Relay,63,4,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1198,	Open,23.73,69.85
	2022/02/17 12:00:22.891,1,	201C04B,	No Relay,60,5,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1191,	Open,23.65,67.76
	2022/02/17 12:00:27.363,1,	201C04B,	No Relay,45,6,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1213,	Open,23.59,65.69
	2022/02/17 12:00:32.168,1,	201C04B,	No Relay,42,7,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1203,	Open,23.53,64.13
	2022/02/17 12:00:37.107,1,	201C04B,	No Relay,69,8,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1201,	Open,23.46,62.75
	2022/02/17 12:00:42.076,1,	201C04B,	No Relay,90,9,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1198,	Open,23.47,60.6
	2022/02/17 12:00:47.539,1,	201C04B,	No Relay,78,10,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1186,	Open,23.38,46.35
	2022/02/17 12:00:53.188,1,	201C04B,	No Relay,78,11,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1186,	Open,23.35,42.34
	2022/02/17 12:00:58.617,1,	201C04B,	No Relay,63,12,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1191,	Open,23.36,42.58
	2022/02/17 12:01:04.211,1,	201C04B,	No Relay,108,13,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1186,	Open,23.38,44.9
	2022/02/17 12:01:09.386,1,	201C04B,	No Relay,108,14,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1196,	Open,23.39,48.92
	2022/02/17 12:01:14.515,1,	201C04B,	No Relay,90,15,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1196,	Open,23.37,47.56
	2022/02/17 12:01:19.943,1,	201C04B,	No Relay,93,16,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1191,	Open,23.36,42.65
	2022/02/17 12:01:24.905,1,	201C04B,	No Relay,87,17,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1201,	Open,23.39,41.25
	2022/02/17 12:01:29.575,1,	201C04B,	No Relay,57,18,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1206,	Open,23.33,40.6
	2022/02/17 12:01:34.610,1,	201C04B,	No Relay,69,19,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1198,	Open,23.33,40.23
	2022/02/17 12:01:39.553,1,	201C04B,	No Relay,75,20,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1201,	Open,23.34,40.12
	2022/02/17 12:01:44.183,1,	201C04B,	No Relay,75,21,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1210,	Open,23.27,40.04
	2022/02/17 12:01:49.015,1,	201C04B,	No Relay,108,22,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1203,	Open,23.29,39.92
	2022/02/17 12:01:54.598,1,	201C04B,	No Relay,105,23,	PAL,6,0,	PacketID_129:Timer:Occurred_Event,	WakeupTimer:Fire,3150,1189,	Open,23.28,39.8
